"artist","song","won_grammy","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_sec","weeks_on_chart","peak_position","started_charting","charted_q1","charted_q2","charted_q3","charted_q4"
"Billie Eilish","bad guy","Yes",FALSE,0.701,0.494,7,-8.889,"1",0.397,0.126,0.0761,0.113,0.648,135.075,"4",191.227,49,1,2019,TRUE,TRUE,TRUE,TRUE
"Childish Gambino","This Is America","Yes",TRUE,0.854,0.463,5,-6.159,"1",0.137,0.117,0,0.354,0.549,120.024,"4",225.773,17,1,2018,FALSE,TRUE,TRUE,FALSE
"Bruno Mars","That's What I Like","Yes",FALSE,0.853,0.56,1,-4.961,"1",0.0406,0.013,0,0.0944,0.86,134.066,"4",206.693,52,1,2016,TRUE,TRUE,TRUE,TRUE
"Adele","Hello","Yes",FALSE,0.481,0.451,5,-6.095,"0",0.0347,0.336,0,0.0872,0.289,157.966,"4",295.493,26,1,2015,TRUE,TRUE,FALSE,TRUE
"Ed Sheeran","Thinking Out Loud","Yes",FALSE,0.781,0.445,2,-6.061,"1",0.0295,0.474,0,0.184,0.591,78.998,"4",281.56,58,2,2014,TRUE,TRUE,TRUE,TRUE
"Sam Smith","Stay With Me","Yes",FALSE,0.418,0.42,0,-6.444,"1",0.0414,0.588,6.39e-05,0.11,0.184,84.094,"4",172.724,54,2,2014,TRUE,TRUE,TRUE,TRUE
"Lorde","Royals","Yes",FALSE,0.674,0.428,7,-9.504,"1",0.122,0.121,0,0.132,0.337,84.878,"4",190.185,44,1,2013,TRUE,TRUE,TRUE,TRUE
"fun. Featuring Janelle Monae","We Are Young","Yes",FALSE,0.378,0.638,10,-5.576,"1",0.075,0.02,7.66e-05,0.0849,0.735,184.086,"4",250.626,42,1,2011,TRUE,TRUE,TRUE,TRUE
"Adele","Rolling in the Deep","Yes",FALSE,0.729,0.756,8,-5.119,"1",0.0294,0.131,0,0.0527,0.522,104.945,"4",228.293,65,1,2010,TRUE,TRUE,TRUE,TRUE
"Lady Antebellum","Need You Now","Yes",FALSE,0.581,0.717,4,-4.433,"1",0.0318,0.0298,0.000186,0.243,0.316,107.884,"4",236.44,60,2,2009,TRUE,TRUE,TRUE,TRUE
"Beyoncé","Single Ladies (Put a Ring on It)","Yes",FALSE,0.427,0.606,1,-4.795,"1",0.289,0.0325,0,0.153,0.271,193.214,"4",193.493,27,1,2008,TRUE,TRUE,FALSE,TRUE
"Coldplay","Viva La Vida - Live from Spotify London","Yes",FALSE,0.433,0.922,8,-6.8,"1",0.12,0.123,4.8e-06,0.93,0.5,138.203,"3",234.027,51,1,2008,TRUE,TRUE,TRUE,TRUE
"Amy Winehouse","Rehab","Yes",FALSE,0.434,0.872,0,-2.974,"1",0.0702,0.0473,1.83e-06,0.396,0.732,71.515,"4",213.76,20,9,2007,TRUE,TRUE,TRUE,FALSE
"Dixie Chicks","Not Ready To Make Nice","Yes",FALSE,0.349,0.74,6,-2.95,"1",0.0381,0.346,7.77e-05,0.885,0.283,167.838,"4",230.44,24,4,2006,TRUE,TRUE,TRUE,FALSE
"U2","Sometimes You Can't Make It On Your Own","Yes",FALSE,0.53,0.597,2,-5.652,"1",0.0247,0.00275,0.473,0.105,0.346,96,"4",305.08,3,97,2005,FALSE,TRUE,FALSE,FALSE
"John Mayer","Daughters","Yes",FALSE,0.674,0.413,2,-7.816,"1",0.0274,0.837,1.91e-05,0.098,0.503,124.895,"3",237.907,23,19,2004,TRUE,TRUE,FALSE,TRUE
"Luther Vandross","Dance With My Father","Yes",FALSE,0.746,0.403,10,-7.187,"1",0.0352,0.507,1.2e-06,0.075,0.227,80.956,"4",259.4,20,38,2003,FALSE,TRUE,TRUE,TRUE
"Norah Jones","Don't Know Why","Yes",FALSE,0.745,0.219,5,-11.216,"1",0.0276,0.851,1.8e-05,0.0678,0.635,88.609,"4",186.251,31,30,2002,TRUE,TRUE,TRUE,TRUE
"Alicia Keys","Fallin' - Radio Edit","Yes",FALSE,0.645,0.536,11,-10.339,"0",0.0368,0.213,0.000734,0.104,0.555,96.002,"3",195.16,34,1,2001,TRUE,TRUE,TRUE,TRUE
"U2","Beautiful Day","Yes",FALSE,0.536,0.928,11,-6.492,"0",0.0589,0.0154,0.00134,0.2,0.389,136.258,"4",248.4,25,21,2000,TRUE,FALSE,FALSE,TRUE
"Santana","Smooth (feat. Rob Thomas)","Yes",FALSE,0.612,0.923,9,-3.879,"1",0.0317,0.157,4.43e-05,0.12,0.959,115.952,"4",295.987,58,1,1999,TRUE,TRUE,TRUE,TRUE
"Céline Dion","My Heart Will Go On - Love Theme from ""Titanic""","Yes",FALSE,0.244,0.36,4,-9.05,"1",0.0321,0.725,0,0.137,0.0381,98.347,"1",280.133,20,1,1998,TRUE,TRUE,TRUE,FALSE
"Shawn Colvin","Sunny Came Home","Yes",FALSE,0.554,0.58,11,-8.05,"0",0.0322,0.344,0.00842,0.0989,0.402,167.83,"4",264.2,32,7,1997,TRUE,FALSE,TRUE,TRUE
"Eric Clapton","Change The World","Yes",FALSE,0.719,0.556,9,-0.77,"1",0.0248,0.477,0.00511,0.0935,0.511,96.9,"4",234.813,43,5,1996,TRUE,TRUE,TRUE,TRUE
"Seal","Kiss From A Rose","Yes",FALSE,0.583,0.41,8,-11.679,"1",0.0311,0.667,0,0.118,0.209,131.713,"3",287.467,36,1,1995,TRUE,TRUE,TRUE,TRUE
