winner_id,performer,title,year,won
1,Billie Eilish,Bad Guy,2020,Yes
2,Childish Gambino,This Is America,2019,Yes
3,Bruno Mars,That's What I Like,2018,Yes
4,Adele,Hello,2017,Yes
5,Ed Sheeran,Thinking Out Loud,2016,Yes
6,Sam Smith,Stay With Me,2015,Yes
7,Lorde,Royals,2014,Yes
8,fun. Featuring Janelle Monae,We Are Young,2013,Yes
9,Adele,Rolling In The Deep,2012,Yes
10,Lady Antebellum,Need You Now,2011,Yes
11,Beyonce,Single Ladies (Put A Ring On It),2010,Yes
12,Coldplay,Viva La Vida,2009,Yes
13,Amy Winehouse,Rehab,2008,Yes
14,Dixie Chicks,Not Ready To Make Nice,2007,Yes
15,U2,Sometimes You Can't Make It On Your Own,2006,Yes
16,John Mayer,Daughters,2005,Yes
17,Luther Vandross,Dance With My Father,2004,Yes
18,Norah Jones,Don't Know Why,2003,Yes
19,Alicia Keys,Fallin',2002,Yes
20,U2,Beautiful Day,2001,Yes
21,Santana Featuring Rob Thomas,Smooth,2000,Yes
22,Celine Dion,My Heart Will Go On,1999,Yes
23,Shawn Colvin,Sunny Came Home,1998,Yes
24,Eric Clapton,Change The World,1997,Yes
25,Seal,Kiss From A Rose,1996,Yes
26,Bruce Springsteen,"Streets Of Philadelphia (From ""Philadelphia"")",1995,Yes
27,Peabo Bryson & Regina Belle,A Whole New World (Aladdin's Theme),1994,Yes
28,Eric Clapton,Tears In Heaven,1993,Yes
29,Natalie Cole,Unforgettable,1992,Yes
30,Bette Midler,From A Distance,1991,Yes
31,Bette Midler,"Wind Beneath My Wings (From ""Beaches"")",1990,Yes
32,Bobby McFerrin,"Don't Worry, Be Happy (From ""Cocktail"")",1989,Yes
33,Linda Ronstadt & James Ingram,"Somewhere Out There (From ""An American Tail"")",1988,Yes
34,Dionne & Friends,That's What Friends Are For,1987,Yes
35,USA For Africa,We Are The World,1986,Yes
36,Tina Turner,What's Love Got To Do With It,1985,Yes
37,The Police,Every Breath You Take,1984,Yes
38,Willie Nelson,Always On My Mind,1983,Yes
39,Kim Carnes,Bette Davis Eyes,1982,Yes
40,Christopher Cross,Sailing,1981,Yes
41,The Doobie Brothers,What A Fool Believes,1980,Yes
42,Billy Joel,Just The Way You Are,1979,Yes
43,Debby Boone,You Light Up My Life,1978,Yes
44,Barbra Streisand,"Evergreen (Love Theme From ""A Star Is Born"")",1978,Yes
45,Barry Manilow,I Write The Songs,1977,Yes
46,Judy Collins,Send In The Clowns,1976,Yes
47,Barbra Streisand,The Way We Were,1975,Yes
48,Roberta Flack,Killing Me Softly With His Song,1974,Yes
49,Roberta Flack,The First Time Ever I Saw Your Face,1973,Yes
50,James Taylor,You've Got A Friend,1972,Yes
51,Simon & Garfunkel,Bridge Over Troubled Water,1971,Yes
52,Joe South,Games People Play,1970,Yes
53,O.C. Smith,Little Green Apples,1969,Yes
54,The 5th Dimension,Up -- Up And Away,1968,Yes
55,The Beatles,Michelle,1967,Yes
56,Tony Bennett,"Love Theme From ""The Sandpiper"" (The Shadow Of Your Smile)",1966,Yes
57,Louis Armstrong And The All Stars,"Hello, Dolly!",1965,Yes
58,Henry Mancini And His Orchestra,Days Of Wine And Roses,1964,Yes
59,Sammy Davis Jr.,What Kind Of Fool Am I,1963,Yes
60,Henry Mancini And His Orchestra,Moon River,1962,Yes
61,Pat Boone,The Exodus Song (This Land Is Mine),1961,Yes
62,Johnny Horton,The Battle Of New Orleans,1960,Yes
