winner_id,performer,title,year,won
1,Billie Eilish,bad guy,2020,Yes
2,Childish Gambino,This Is America,2019,Yes
3,Bruno Mars,That's What I Like,2018,Yes
4,Adele,Hello,2017,Yes
5,Ed Sheeran,Thinking Out Loud,2016,Yes
6,Sam Smith,Stay With Me,2015,Yes
7,Lorde,Royals,2014,Yes
8,fun. Featuring Janelle Monae,We Are Young,2013,Yes
9,Adele,Rolling in the Deep,2012,Yes
10,Lady Antebellum,Need You Now,2011,Yes
11,Beyoncé,Single Ladies (Put a Ring on It),2010,Yes
12,Coldplay,Viva La Vida - Live from Spotify London,2009,Yes
13,Amy Winehouse,Rehab,2008,Yes
14,Dixie Chicks,Not Ready To Make Nice,2007,Yes
15,U2,Sometimes You Can't Make It On Your Own,2006,Yes
16,John Mayer,Daughters,2005,Yes
17,Luther Vandross,Dance With My Father,2004,Yes
18,Norah Jones,Don't Know Why,2003,Yes
19,Alicia Keys,Fallin' - Radio Edit,2002,Yes
20,U2,Beautiful Day,2001,Yes
21,Santana,Smooth (feat. Rob Thomas),2000,Yes
22,Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",1999,Yes
23,Shawn Colvin,Sunny Came Home,1998,Yes
24,Eric Clapton,Change The World,1997,Yes
25,Seal,Kiss From A Rose,1996,Yes
26,Bruce Springsteen,Streets of Philadelphia,1995,Yes
27,Peabo Bryson,A Whole New World (Aladdin's Theme),1994,Yes
28,Eric Clapton,Tears In Heaven,1993,Yes
29,Natalie Cole,Unforgettable (Duet with Nat King Cole),1992,Yes
30,Bette Midler,From a Distance,1991,Yes
31,Bette Midler,Wind Beneath My Wings,1990,Yes
32,Bobby McFerrin,"Don't Worry, Be Happy (O.S.T.)",1989,Yes
33,James Ingram,Somewhere Out There - Featuring Linda Ronstadt,1988,Yes
34,Dionne Warwick,That's What Friends Are For,1987,Yes
35,U.S.A. For Africa,We Are The World,1986,Yes
36,Tina Turner,What's Love Got to Do with It,1985,Yes
37,The Police,Every Breath You Take,1984,Yes
38,Willie Nelson,Always On My Mind,1983,Yes
39,Kim Carnes,Bette Davis Eyes,1982,Yes
40,Christopher Cross,Sailing,1981,Yes
41,The Doobie Brothers,What a Fool Believes,1980,Yes
42,Billy Joel,Just the Way You Are,1979,Yes
43,Debby Boone,You Light Up My Life,1978,Yes
44,Barbra Streisand,"Evergreen (Love Theme from, ""A Star Is Born"")",1978,Yes
45,Barry Manilow,I Write The Songs,1977,Yes
46,Judy Collins,Send in the Clowns,1976,Yes
47,Barbra Streisand,The Way We Were,1975,Yes
48,Roberta Flack,Killing Me Softly with His Song,1974,Yes
49,Roberta Flack,The First Time Ever I Saw Your Face,1973,Yes
50,James Taylor,You've Got a Friend,1972,Yes
51,Simon & Garfunkel,Bridge Over Troubled Water,1971,Yes
52,Joe South,Games People Play,1970,Yes
53,O.C. Smith,Little Green Apples,1969,Yes
54,The 5th Dimension,"Up, Up and Away",1968,Yes
55,The Beatles,Michelle,1967,Yes
56,Tony Bennett,"The Shadow of Your Smile (Love Theme from ""The Sandpiper"")",1966,Yes
57,Louis Armstrong,"Hello, Dolly!",1965,Yes
58,Henry Mancini,Days of Wine and Roses,1964,Yes
59,Sammy Davis Jr.,What Kind Of Fool Am I? - Live,1963,Yes
60,Henry Mancini,"Moon River (From ""Breakfast at Tiffany's"")",1962,Yes
61,Ernest Gold,Theme Of Exodus,1961,Yes
62,Johnny Horton,The Battle Of New Orleans,1960,Yes
